,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,card number
918,33,male,2,own,moderate,little,2359,24,furniture/equipment,bad,1917
919,39,male,3,rent,little,little,3345,24,furniture/equipment,bad,1918
920,28,female,2,own,little,NA,1817,18,furniture/equipment,good,1919
921,37,male,3,own,quite rich,NA,12749,48,radio/TV,good,1920
922,22,female,2,rent,little,little,1366,9,radio/TV,bad,1921
923,30,male,2,rent,little,moderate,2002,12,car,good,1922
924,55,male,2,own,little,little,6872,24,furniture/equipment,bad,1923
925,46,male,2,own,little,little,697,12,car,bad,1924
926,21,female,2,rent,little,little,1049,18,furniture/equipment,good,1925
927,39,male,2,free,little,little,10297,48,car,bad,1926
928,58,male,2,own,NA,NA,1867,30,radio/TV,good,1927
929,43,male,1,own,little,little,1344,12,car,good,1928
930,24,male,1,own,little,little,1747,24,furniture/equipment,good,1929
931,22,female,2,own,little,moderate,1670,9,radio/TV,bad,1930
932,30,male,2,own,little,NA,1224,9,car,good,1931
933,42,male,2,own,quite rich,NA,522,12,radio/TV,good,1932
934,23,female,2,own,little,little,1498,12,radio/TV,good,1933
935,30,male,3,own,moderate,moderate,1919,30,radio/TV,bad,1934
936,28,female,1,own,little,rich,745,9,radio/TV,bad,1935
937,30,male,3,rent,little,moderate,2063,6,radio/TV,good,1936
938,42,male,2,free,little,moderate,6288,60,education,bad,1937
939,46,male,3,own,NA,NA,6842,24,car,good,1938
940,45,male,3,own,NA,NA,3527,12,car,good,1939
941,31,male,1,own,little,NA,1546,10,car,good,1940
942,31,male,2,own,NA,NA,929,24,furniture/equipment,good,1941
943,42,male,1,own,little,NA,1455,4,car,good,1942
944,46,female,2,rent,little,little,1845,15,furniture/equipment,good,1943
945,30,female,2,own,quite rich,moderate,8358,48,car,good,1944
946,30,male,2,free,quite rich,little,3349,24,furniture/equipment,bad,1945
947,38,male,3,own,NA,NA,2859,12,car,good,1946
948,43,male,1,own,little,NA,1533,18,furniture/equipment,bad,1947
949,31,male,2,own,moderate,NA,3621,24,radio/TV,bad,1948
950,40,male,0,own,little,moderate,3590,18,business,good,1949
951,24,male,2,own,little,little,2145,36,business,bad,1950
952,28,female,2,rent,quite rich,moderate,4113,24,car,bad,1951
953,26,female,3,own,little,NA,10974,36,furniture/equipment,bad,1952
954,29,female,2,own,little,little,1893,12,car,good,1953
955,57,female,3,rent,rich,little,1231,24,radio/TV,good,1954
956,49,male,1,own,NA,rich,3656,30,radio/TV,good,1955
957,37,male,1,own,little,moderate,1154,9,radio/TV,good,1956
958,45,male,1,own,little,little,4006,28,car,bad,1957
959,30,male,2,free,moderate,moderate,3069,24,furniture/equipment,good,1958
960,30,male,2,rent,little,NA,1740,6,radio/TV,good,1959
961,47,male,2,own,little,moderate,2353,21,car,good,1960
962,29,male,2,own,NA,NA,3556,15,car,good,1961
963,35,male,2,own,quite rich,NA,2397,24,radio/TV,bad,1962
964,22,male,1,own,little,moderate,454,6,repairs,good,1963
965,26,female,2,own,NA,moderate,1715,30,radio/TV,good,1964
966,23,male,1,own,quite rich,moderate,2520,27,radio/TV,bad,1965
967,54,female,3,rent,little,NA,3568,15,radio/TV,good,1966
968,29,male,2,rent,NA,NA,7166,42,radio/TV,good,1967
969,40,male,1,own,little,little,3939,11,car,good,1968
970,22,male,2,own,moderate,moderate,1514,15,repairs,good,1969
971,43,male,1,own,little,NA,7393,24,car,good,1970
972,29,female,0,rent,little,little,1193,24,car,bad,1971
973,36,male,2,rent,little,little,7297,60,business,bad,1972
974,33,female,2,own,little,NA,2831,30,radio/TV,good,1973
975,57,female,1,own,quite rich,rich,1258,24,radio/TV,good,1974
976,64,female,2,own,little,moderate,753,6,radio/TV,good,1975
977,42,male,2,own,NA,moderate,2427,18,business,good,1976
978,47,male,1,own,little,NA,2538,24,car,bad,1977
979,25,male,2,rent,moderate,moderate,1264,15,car,bad,1978
980,49,male,2,own,little,moderate,8386,30,furniture/equipment,bad,1979
981,33,male,3,rent,little,NA,4844,48,business,bad,1980
982,28,female,3,own,moderate,rich,2923,21,car,good,1981
983,26,male,2,own,little,little,8229,36,car,bad,1982
984,30,male,1,own,little,NA,2028,24,furniture/equipment,good,1983
985,25,female,2,rent,little,little,1433,15,furniture/equipment,good,1984
986,33,male,2,own,little,rich,6289,42,business,good,1985
987,64,female,2,own,moderate,NA,1409,13,radio/TV,good,1986
988,29,male,3,free,little,little,6579,24,car,good,1987
989,48,male,1,own,little,moderate,1743,24,radio/TV,good,1988
990,37,male,1,own,NA,NA,3565,12,education,good,1989
991,34,male,1,own,moderate,NA,1569,15,radio/TV,good,1990
992,23,male,1,rent,NA,little,1936,18,radio/TV,good,1991
993,30,male,3,own,little,little,3959,36,furniture/equipment,good,1992
994,50,male,2,own,NA,NA,2390,12,car,good,1993
995,31,female,1,own,little,NA,1736,12,furniture/equipment,good,1994
996,40,male,3,own,little,little,3857,30,car,good,1995
997,38,male,2,own,little,NA,804,12,radio/TV,good,1996
998,23,male,2,free,little,little,1845,45,radio/TV,bad,1997
999,27,male,2,own,moderate,moderate,4576,45,car,good,1998
